"","freq","terms"
"1",1,"'for"
"2",1,"a-b-c"
"3",1,"a-conjuring"
"4",1,"a-covering"
"5",1,"a-cup"
"6",1,"a-ffirm"
"7",1,"a-for-mentioned"
"8",1,"a-gon"
"9",1,"a-line"
"10",1,"a-lister"
"11",1,"a-mau"
"12",1,"a-maz-ing"
"13",1,"a-muse"
"14",1,"a-ok"
"15",1,"a-okay"
"16",1,"a-pinene"
"17",1,"a-plenty"
"18",1,"a-x"
"19",1,"a-zers"
"20",1,"a'la"
"21",1,"a'swirling"
"22",1,"a’ala"
"23",1,"aaa's"
"24",1,"aaaaaaaaa"
"25",1,"aaaaagggh"
"26",1,"aaaaahhhh"
"27",1,"aaaand"
"28",1,"aaas"
"29",1,"aaawww"
"30",1,"aadil"
"31",1,"aadmis"
"32",1,"aag"
"33",1,"aahhh"
"34",1,"aahhhhhh"
"35",1,"aahs"
"36",1,"aai"
"37",1,"aaii"
"38",1,"aaiight"
"39",1,"aakash"
"40",1,"aam-on-starseeds-service-and-enlightenment"
"41",1,"aamir"
"42",1,"aang"
"43",1,"aang’s"
"44",1,"aaohn"
"45",1,"aapl"
"46",1,"aarons"
"47",1,"aarp"
"48",1,"aasu"
"49",1,"aat"
"50",1,"aau"
"51",1,"aaw"
"52",1,"abab"
"53",1,"abacha"
"54",1,"abaco"
"55",1,"abacus"
"56",1,"abad"
"57",1,"abandons"
"58",1,"abang"
"59",1,"abased"
"60",1,"abasement"
"61",1,"abates"
"62",1,"abba's"
"63",1,"abbess"
"64",1,"abbot"
"65",1,"abbottabad"
"66",1,"abbreviate"
"67",1,"abbreviations"
"68",1,"abby’s"
"69",1,"abc-clio"
"70",1,"abc-tv"
"71",1,"abc’s"
"72",1,"abcdefghi"
"73",1,"abci’s"
"74",1,"abcnews"
"75",1,"abcs"
"76",1,"abd-al-wahhab"
"77",1,"abdesselam"
"78",1,"abdication"
"79",1,"abdo"
"80",1,"abdomens"
"81",1,"abducting"
"82",1,"abductor"
"83",1,"abdulaziz"
"84",1,"abdus"
"85",1,"abeautifulmind"
"86",1,"abeba"
"87",1,"abeba's"
"88",1,"abecedarian"
"89",1,"abednego"
"90",1,"abel’s"
"91",1,"abelson"
"92",1,"abena"
"93",1,"abercrombie"
"94",1,"aberdonians"
"95",1,"abernathy"
"96",1,"aberrant"
"97",1,"aberystwyth"
"98",1,"abet"
"99",1,"abetted"
"100",1,"abetting"
"101",1,"abeyant"
"102",1,"abfts"
"103",1,"abh"
"104",1,"abh's"
"105",1,"abhanden"
"106",1,"abhithian"
"107",1,"abhorred"
"108",1,"abided"
"109",1,"abiility"
"110",1,"abilene"
"111",1,"abine’s"
"112",1,"abingdon"
"113",1,"abkhazia"
"114",1,"ables"
"115",1,"ablonczy"
"116",1,"abn"
"117",1,"abolishment"
"118",1,"abort"
"119",1,"abortion-rights"
"120",1,"abortion'"
"121",1,"abortionist"
"122",1,"abortive"
"123",1,"abot"
"124",1,"abou-nassar"
"125",1,"aboulafia"
"126",1,"aboussie"
"127",1,"above-linked"
"128",1,"abovе"
"129",1,"abowt"
"130",1,"abq"
"131",1,"abracadabra"
"132",1,"abrahamic"
"133",1,"abrahams"
"134",1,"abram’s"
"135",1,"abrazos"
"136",1,"abrogate"
"137",1,"abromovic"
"138",1,"abrose"
"139",1,"abruzzo"
"140",1,"absaroka"
"141",1,"absecon"
"142",1,"absences"
"143",1,"absenteeism"
"144",1,"absentia"
"145",1,"absently"
"146",1,"abso-f"
"147",1,"absofuckinglutely"
"148",1,"absolut"
"149",1,"absolution"
"150",1,"absolutist"
"151",1,"absolve"
"152",1,"absolved"
"153",1,"absorbent"
"154",1,"absorbers"
"155",1,"abstain"
"156",1,"abstains"
"157",1,"abstemious"
"158",1,"abstracted"
"159",1,"abstracting"
"160",1,"abstractions"
"161",1,"absurdism"
"162",1,"absurdist"
"163",1,"abu-seif"
"164",1,"abubaker"
"165",1,"abuhamda"
"166",1,"abuja"
"167",1,"abul"
"168",1,"abundantia"
"169",1,"abuser’s"
"170",1,"abyan"
"171",1,"abydos"
"172",1,"abysmal"
"173",1,"abysmally"
"174",1,"abyssinian"
"175",1,"abоve"
"176",1,"aca"
"177",1,"acad"
"178",1,"acadec"
"179",1,"academian"
"180",1,"academies"
"181",1,"academy’s"
"182",1,"acadia"
"183",1,"acapella"
"184",1,"ācārya"
"185",1,"acause"
"186",1,"accede"
"187",1,"accedes"
"188",1,"accel-couches"
"189",1,"accelerates"
"190",1,"accent-less"
"191",1,"accesory"
"192",1,"accessable"
"193",1,"accessbility"
"194",1,"accessibilty"
"195",1,"accessorize"
"196",1,"accessorizing"
"197",1,"accidently"
"198",1,"accipit"
"199",1,"accolade"
"200",1,"accommodated"
"201",1,"accomodating"
"202",1,"accomodationism"
"203",1,"accompained"
"204",1,"accompaniments"
"205",1,"accomplice"
"206",1,"accomplishement"
"207",1,"accorded"
"208",1,"accostumed"
"209",1,"account's"
"210",1,"accouterments"
"211",1,"accross"
"212",1,"accruals"
"213",1,"accrued"
"214",1,"accruing"
"215",1,"acct"
"216",1,"acculturating"
"217",1,"acculturation"
